car_id,car_name,airbags,aircon,doors,groups,seats,transmission,mileage,rental_price_per_day
729703091,Citroen C4-Elysee,1,1,4,Intermediate,5,Manual,Unlimited km,3033.06
735433006,Fiat Tipo Aegea,1,1,5,Compact,5,Manual,Unlimited km,3033.06
707339781,Volkswagen Tiguan,1,1,4,Intermediate,5,Automatic,Unlimited km,5222.98
699663886,Fiat Egea,1,1,4,Intermediate,5,Automatic,4000 kilometres per rental,2864.13
730225241,Citroen C-Elysee,1,1,5,Economy,5,Manual,1000 kilometres per rental,2620.01
729703076,Nissan Micra,1,1,5,Economy,5,Automatic,Unlimited km,3336.37
729703146,Renault Clio,1,0,3,Economy,5,Automatic,Unlimited km,3336.37
707410376,Audi A4,1,1,4,Premium,5,Automatic,Unlimited km,7132.35
680483861,Renault Clio,1,1,5,Economy,5,Manual,3000 kilometres per rental,3099.86
699480646,Hyundai Tucson,1,1,4,Full-size,5,Automatic,800 kilometres per rental,4647.87
730225406,Renault Taliant,1,1,4,Economy,5,Automatic,1000 kilometres per rental,3236.94
652785496,Fiat Egea,1,1,4,Intermediate,5,Manual,Unlimited km,3618.42
699764606,Dacia Duster,1,1,5,Compact,5,Manual,Unlimited km,4246.28
680483891,Hyundai i20,1,1,4,Economy,4,Automatic,3000 kilometres per rental,3351.72
635676483,Hyundai I20,1,1,4,Economy,5,Automatic,4000 kilometres per rental,2596.15
729703131,Kia Picanto,1,1,5,Mini,5,Automatic,Unlimited km,3336.37
699765141,Dacia Lodgy,1,1,5,Standard,7,Manual,Unlimited km,10919.02
699765641,Ford Tourneo,1,1,5,Luxury,9,Manual,Unlimited km,9099.18
741314256,Toyota Corolla,1,1,4,Intermediate,5,Automatic,Unlimited km,4771.31
709104686,Ford Tourneo,1,1,5,Luxury,9,Automatic,Unlimited km,9645.13
747290391,Fiat Egea,1,1,4,Compact,5,Manual,1000 kilometres per rental,3440.03
707121981,Opel Corsa,1,1,4,Economy,5,Automatic,Unlimited km,3954.54
735249041,Citroen Nemo,1,1,3,Economy,5,Manual,Unlimited km,3942.98
747301871,Fiat Doblo,1,1,4,Compact,5,Manual,1000 kilometres per rental,4050.48
741316801,Ford Focus,1,1,4,Compact,5,Manual,Unlimited km,4118.59
729703116,Ford Tourneo,1,1,5,Compact,5,Manual,Unlimited km,3639.67
740840071,Nissan Juke,1,1,5,Compact,5,Automatic,Unlimited km,4549.59
714874626,Ford Focus,1,1,4,Compact,5,Manual,Unlimited km,4202.61
680483896,Renault Clio,1,1,4,Economy,5,Automatic,3000 kilometres per rental,3503.38
747311951,Fiat Egea Cross,1,1,5,Compact,5,Manual,1000 kilometres per rental,4198.67
706534686,Fiat Egea,1,1,4,Intermediate,5,Manual,Unlimited km,4733.11
735024941,Fiat Egea,1,1,4,Intermediate,5,Automatic,1000 kilometres per rental,3657.81
741311701,Hyundai Tucson,1,1,4,Full-size,5,Automatic,Unlimited km,7229.3
707393706,Skoda Superb,1,1,4,Standard,5,Automatic,Unlimited km,4924.53
730088821,Toyota Corolla Hybrid,1,1,4,Intermediate,5,Automatic,Unlimited km,4868.67
701981548,Volkswagen Passat,1,1,4,Full-size,5,Automatic,Unlimited km,4924.53
714872231,Hyundai Tucson,1,1,4,Full-size,5,Automatic,Unlimited km,7377.01
701983673,Volkswagen Caravelle,1,1,4,Standard,9,Automatic,Unlimited km,14176.67
747287111,Renault Taliant,1,1,4,Economy,5,Automatic,1000 kilometres per rental,3823.19
748067606,Peugeot Traveller,1,1,4,Standard,9,Automatic,Unlimited km,41640.33
727516751,Toyota Corolla Hybrid,1,1,4,Intermediate,5,Automatic,4000 kilometres per rental,3490.71
695616631,Hyundai i20,1,1,4,Economy,5,Manual,Unlimited km,4384.49
729671386,Volkswagen Transporter,1,1,5,Premium,8,Manual,Unlimited km,43676.07
680483901,Fiat Egea,1,1,4,Intermediate,5,Automatic,3000 kilometres per rental,4001.72
741323601,Mercedes Vito,1,1,5,Luxury,9,Automatic,Unlimited km,12253.56
714893621,Mercedes Vito,1,1,5,Luxury,9,Automatic,Unlimited km,12503.79
726344641,Renault Clio,1,1,4,Economy,5,Automatic,Unlimited km,5122.42
695616681,Citroen C3,1,1,4,Economy,5,Manual,Unlimited km,4409.84
701981308,Audi Q2,1,1,4,Intermediate,5,Automatic,Unlimited km,6118.35
707269956,Volkswagen Golf,1,1,4,Compact,5,Automatic,Unlimited km,4626.06
718669186,Opel Corsa,1,1,4,Economy,5,Automatic,Unlimited km,4407.89
729703056,Nissan Juke,1,1,5,Compact,5,Automatic,Unlimited km,5156.2
